,words,sentiments
0,ware,"['fear', 'negative']"
1,hate,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
2,protector,"['positive', 'trust']"
3,watch,"['anticipation', 'fear']"
4,time,['anticipation']
5,protect,['positive']
6,edition,['anticipation']
7,tempered,['positive']
8,impression,['positive']
9,series,['trust']
10,dust,['negative']
11,visit,['positive']
12,promise,"['joy', 'positive', 'trust']"
13,provide,"['positive', 'trust']"
14,reliable,"['positive', 'trust']"
15,safe,"['joy', 'positive', 'trust']"
16,weird,"['disgust', 'negative']"
17,lightning,"['anger', 'fear', 'surprise']"
18,storm,"['anger', 'negative']"
19,production,"['anticipation', 'positive']"
20,disruption,"['anger', 'fear', 'negative', 'surprise']"
21,shortage,"['anger', 'fear', 'negative', 'sadness']"
22,surgery,"['fear', 'sadness']"
23,detention,"['negative', 'sadness']"
24,wireless,"['anger', 'anticipation', 'positive', 'surprise']"
25,charger,['positive']
26,finally,"['anticipation', 'disgust', 'joy', 'positive', 'surprise', 'trust']"
27,assistance,['positive']
28,inquiry,"['anticipation', 'positive']"
29,mobile,['anticipation']
30,unique,"['positive', 'surprise']"
31,solution,['positive']
32,bang,"['anger', 'disgust', 'fear', 'negative', 'sadness', 'surprise']"
33,theory,"['anticipation', 'trust']"
34,justice,"['positive', 'trust']"
35,league,['positive']
36,march,['positive']
37,appreciation,"['joy', 'positive', 'trust']"
38,giving,['positive']
39,catch,['surprise']
40,start,['anticipation']
41,plan,['anticipation']
42,title,"['positive', 'trust']"
43,dance,"['joy', 'positive', 'trust']"
44,ruined,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
45,hearing,"['fear', 'negative']"
46,pay,"['anticipation', 'joy', 'positive', 'trust']"
47,penalty,"['anger', 'fear', 'negative', 'sadness']"
48,prime,['positive']
49,feature,['positive']
50,launch,"['anticipation', 'positive']"
51,diary,"['joy', 'positive', 'trust']"
52,black,"['negative', 'sadness']"
53,label,['trust']
54,pride,"['joy', 'positive']"
55,luck,"['anticipation', 'joy', 'positive', 'surprise']"
56,shot,"['anger', 'fear', 'negative', 'sadness', 'surprise']"
57,chance,['surprise']
58,sir,"['positive', 'trust']"
59,junk,['negative']
60,improve,"['anticipation', 'joy', 'positive', 'trust']"
61,top,"['anticipation', 'positive', 'trust']"
62,twitch,['negative']
63,change,['fear']
64,gray,"['disgust', 'sadness']"
65,horrible,"['anger', 'disgust', 'fear', 'negative']"
66,customer,['positive']
67,machine,['trust']
68,love,"['joy', 'positive']"
69,hell,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
70,content,"['joy', 'positive', 'trust']"
71,birthday,"['anticipation', 'joy', 'positive', 'surprise']"
72,reward,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
73,friend,"['joy', 'positive', 'trust']"
74,wait,"['anticipation', 'negative']"
75,boring,['negative']
76,accurate,"['positive', 'trust']"
77,good,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
78,leak,['negative']
79,ill,"['anger', 'disgust', 'fear', 'negative', 'sadness']"
80,deserve,"['anger', 'anticipation', 'positive', 'trust']"
81,deal,"['anticipation', 'joy', 'positive', 'surprise', 'trust']"
82,store,"['anticipation', 'positive']"
83,discussion,['positive']
84,winning,"['anticipation', 'disgust', 'joy', 'positive', 'sadness', 'surprise', 'trust']"
85,receiving,"['anticipation', 'joy', 'positive', 'surprise']"
86,cad,"['anger', 'disgust', 'negative']"
87,render,['positive']
88,wan,"['fear', 'negative', 'sadness']"
89,ambassador,"['positive', 'trust']"
90,daily,['anticipation']
91,older,['sadness']
92,policy,['trust']
93,praise,"['joy', 'positive', 'trust']"
94,network,['anticipation']
95,distracting,"['anger', 'anticipation', 'negative']"
96,personal,['trust']
97,fault,"['negative', 'sadness']"
98,dumb,['negative']
99,participation,['positive']
100,demand,"['anger', 'negative']"
101,commerce,['trust']
102,hit,"['anger', 'negative']"
103,build,['positive']
104,peacock,['positive']
105,baby,"['joy', 'positive']"
106,blue,['sadness']
107,worth,['positive']
108,informer,['negative']
109,supported,['positive']
